names,RVolume,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,10130,4,0,9759.5,NaN,2,0,54,NaN,12102.0486111111,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,16,1,1821.9375,1483,6,1,14.6666666666667,1,2173.99647745572,1483
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,13542,88,0,10767.625,NaN,10,0,156.8,NaN,14990.9215701832,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,13,0,9980.46153846154,NaN,3,0,101.333333333333,NaN,11364.3990732206,NaN,76,4,2112.84210526316,1639,25,2,25.84,2.5,2418.85936291869,1616.41666666667
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,14736,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,36942,41,1,10136.8048780488,7023,4,1,10.25,1,8796.25,7023,2532,2529,44964.6654818325,44988.6259391064,50,50,264.08,261.76,38384.292889133,38398.2487117477,198,193,15879.3636363636,16059.2538860104,12,10,39.3333333333333,46.7,13747.1898679692,14694.477841563,106,16,2321.37735849057,1830.375,10,9,11.2,2,1895.57632755842,1849.52777777778
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,10943,109,0,9671.73394495413,NaN,17,0,75.3529411764706,NaN,13350.1830365074,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,16,0,9256.0625,NaN,3,0,160.333333333333,NaN,12009.8559537001,NaN,166,2,2061.04819277108,1744.5,52,2,32.8269230769231,21,2747.86662381296,1949.17073170732
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,19028,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2003,2003,43240.9565651523,43240.9565651523,57,57,94.140350877193,94.140350877193,36828.0617186028,36828.0617186027,339,339,14980.2861356932,14980.2861356932,16,16,26.625,26.625,11575.9078428741,11575.9078428741,15,15,1673.06666666667,1673.06666666667,10,10,1.9,1.9,1657.47333333333,1657.47333333333
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,16646,4,0,7443.25,NaN,2,0,69.5,NaN,10004.9648407148,NaN,197,197,39698.0456852792,39698.0456852792,10,10,147.1,147.1,37517.343933759,37517.343933759,92,92,11386.4565217391,11386.4565217391,7,7,13.8571428571429,13.8571428571429,10563.893537415,10563.893537415,14,9,1852.85714285714,1844.44444444444,8,5,3.625,2.2,1913.22916666667,1865.1
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,15196,8,0,8160.375,NaN,4,0,8.75,NaN,8550.74107142857,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,5,5,9937.4,9937.4,2,2,13,13,10700.0833333333,10700.0833333333,35,17,1729.82857142857,1740.29411764706,12,4,13.75,30,1788.59475329178,1724.85324483776
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,18708,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,24,19,1679.54166666667,1720.42105263158,6,4,9.83333333333333,5.25,1757.77534562212,1685.875
Br5558_NAC_Square_1_RXFP2520_GABRQ570_DRD1620_TAC1690_10_Linear unmixing,16945,2,1,7787.5,6875,2,1,1,1,7787.5,6875,14,14,47101.8571428571,47101.8571428571,1,1,57,57,41943.5614035088,41943.5614035088,66,66,10694.803030303,10694.803030303,5,5,17.8,17.8,10156.9827091377,10156.9827091377,12,9,1665.58333333333,1647.55555555556,9,9,1.88888888888889,1.44444444444444,1620.88333333333,1634.35555555556
